timestamp,question,score,route,response_time,cost
2026-02-14T11:20:18,你是谁？？,1,small_model,23.800448179244995,0
2026-02-14T11:25:55,请用python语言帮我写一个函数来完成加法,2,small_model,83.54000639915466,0
2026-02-14T11:33:23,请用python语言帮我写一个函数来完成加法,2,small_model,38.37114882469177,0
2026-02-14T11:37:46,请用python语言帮我写一个函数来完成加法,2,big_model_fallback,50.15867352485657,0
2026-02-14T11:39:09,用python语言写一个简单函数完成加法,1,small_model,19.680264711380005,0
2026-02-14T11:46:11,用python语言写一个简单函数完成加法,1,small_model,35.772579193115234,0
2026-02-14T11:46:49,你是谁？,1,small_model,16.740430116653442,0
2026-02-14T11:48:24,你能告诉我人体有哪些系统吗,1,small_model,21.964296579360962,0
2026-02-14T11:50:28,你能告诉我人体有哪些系统吗,1,small_model,32.87181735038757,0
2026-02-14T11:57:24,你能告诉我人体有哪些系统吗,1,small_model,28.901514530181885,0
2026-02-14T12:00:38,你能告诉我人体有哪些系统吗,1,small_model,48.92749285697937,0
2026-02-14T12:02:25,你能告诉我人体有哪些系统吗，请从上到下，从里到外，从简到难，依次告诉我 ，能不能？？？嗯？？,5,big_model,40.69711375236511,0
2026-02-14T12:09:00,你能告诉我人体有哪些系统吗,1,small_model,38.61651015281677,0
2026-02-14T12:13:41,你能告诉我人体有哪些系统吗,1,big_model_fallback,58.82635164260864,0
